"","county_name","urbanicity","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"390","Chouteau County","rural",0,109.31,12.41,147.61,12.41,281.74
"391","Chowan County","rural",0,376.87,554.1,0,907.1,1838.07
"392","Christian County","rural",0,84,110.6,0,194.6,389.2
"393","Christian County","small/mid",82.26,7325.93,7236.79,2,13864.79,28511.77
"394","Churchill County","rural",24.7,204.88,293.09,476.5,119.09,1118.26
"395","Cibola County","rural",0,78,0,14.76,0,92.76
"396","Cimarron County","rural",0,63.26,32,0,0,95.26
"397","Citrus County","small/mid",139.49,2571.85,2367.36,2.99,3542.36,8624.05
"398","Clackamas County","suburban",244.52,1668.11,1873.28,295.37,1515.28,5596.56
"399","Claiborne County","rural",0,639.78,442.25,0,1045.25,2127.28
"400","Claiborne Parish","rural",0,1232.41,7689.8,0,8589.8,17512.01
"401","Clallam County","rural",18.43,334.65,217.5,794.34,185.5,1550.42
"402","Clare County","rural",9.5,233.15,1018.92,72.17,1018.92,2352.66
"403","Clarendon County","rural",0,5022,1496.5,0,6361.5,12880
"404","Clarion County","rural",0,128.47,127.14,15.52,193.14,464.27
"405","Clark County","rural",30.28,214.7,664.340000000001,100.32,629.340000000001,1638.98
"406","Clark County","small/mid",71.09,3647.84,3012.26,4,6354.26,13089.45
"407","Clark County","suburban",562.02,5347.84,6009.44,1051.67,8129.44,21100.41
"408","Clark County","urban",6011.76,67112.97,67856.45,1358.06,87597.45,229936.69
"409","Clarke County","rural",0,3781.33,2924.77,20.87,6658.77,13385.74
"410","Clarke County","small/mid",28.47,12569.31,10380.29,19.6,22322.29,45319.96
"411","Clarke County","suburban",17.08,211.65,323.2,1.29,473.2,1026.42
"412","Clatsop County","rural",0,136.5,287.33,43.56,42.33,509.72
"413","Clay County","rural",4.78,3933.28,3579.22,223.63,7104.22,14845.13
"414","Clay County","small/mid",1.28,1525.77,809.04,481.06,675.04,3492.19
"415","Clay County","suburban",93.18,9073.1,5239.13,56.33,12548.13,27009.87
"416","Clayton County","rural",0,16.5,68.75,0,68.75,154
"417","Clayton County","suburban",572.71,29841.82,30805.31,88.53,57220.31,118528.68
"418","Clear Creek County","suburban",0,509.59,140.85,9.5,117.85,777.79
"419","Clearfield County","rural",14.29,343.02,325.18,0,590.18,1272.67
"420","Clearwater County","rural",21.6,124.89,53.58,446.59,53.58,700.24
"421","Cleburne County","rural",0,384.69,202.5,0,490.5,1077.69
"422","Clermont County","suburban",13.62,419.39,515.97,0,803.97,1752.95
"423","Cleveland County","rural",11.1,5144.42,3094.98,20,8020.98,16291.48
"424","Cleveland County","small/mid",0,0,44.86,0,44.86,89.72
"425","Cleveland County","suburban",67.16,2390.57,3187.41,965.32,4737.41,11347.87
"426","Clinch County","rural",0,451,144.21,0,595.21,1190.42
"427","Clinton County","rural",376.08,2621.84,3347,142.31,4319,10806.23
"428","Clinton County","small/mid",68.21,700,1839.5,81.21,2153.5,4842.42
"429","Clinton County","suburban",33.96,690.54,410.81,0,885.81,2021.12
"430","Cloud County","rural",0,46.64,61.5,0,61.5,169.64
"431","Coahoma County","rural",0,4310.93,3327.09,0,7629.09,15267.11
"432","Coal County","rural",0,10,20.5,179.76,26.5,236.76
"433","Cobb County","suburban",547.33,40017.24,33540.95,48.05,66109.95,140263.52
"434","Cochise County","small/mid",71.62,3881.71,4893.18,192.77,1292.18,10331.46
"435","Cochran County","rural",0,153.5,166.52,0,52.52,372.54
"436","Cocke County","rural",0,495,249.59,0,676.59,1421.18
"437","Coconino County","small/mid",36.32,2483.37,2552.94,7332.49,1219.94,13625.06
"438","Codington County","rural",0.67,127.21,21.54,676.63,81.54,907.59
"439","Coffee County","rural",48.18,9976.59,6025.91,14.9,15530.91,31596.49
"440","Coffey County","rural",0,45.08,30.2,68.92,30.2,174.4
"441","Coke County","rural",0,8,30,0,8,46
"442","Colbert County","small/mid",0,2998.2,1261.5,0,4122.5,8382.2
"443","Cole County","small/mid",0,3855.5,1004.5,20,4759.5,9639.5
"444","Coleman County","rural",0,119.63,257.39,0,119.39,496.41
"445","Coles County","rural",12.01,704,547.29,0,1145.29,2408.59
"446","Colfax County","rural",2.31,959.24,305.57,25.21,222.57,1514.9
"447","Colleton County","rural",0,4491.26,1731.07,45.88,6143.07,12411.28
"448","Collier County","small/mid",1,13563.82,8926.07,86.51,8906.07,31483.47
"449","Collin County","urban",366.55,10949.17,10376.24,31.56,12265.24,33988.76
"450","Collingsworth County","rural",0,177.25,314.25,0,150.25,641.75
"451","Colonial Heights city","suburban",26.44,1929.41,3954.52,8.38,5600.52,11519.27
"452","Colorado County","rural",0,1953.28,1419.38,0,2026.38,5399.04
"453","Colquitt County","rural",117.15,7049.67,7275.87,0,13445.87,27888.56
"454","Columbia County","rural",22.75,8471.79,5816.91,0,13462.91,27774.36
"455","Columbia County","small/mid",182.03,4364.93,3477.38,228.42,6868.38,15121.14
"456","Columbia County","suburban",9.5,350.52,101.19,36.72,81.19,579.12
"457","Columbiana County","rural",0,324.72,765.5,0,1056.5,2146.72
"458","Columbus County","rural",0,3301.5,1749.67,115,4866.67,10032.84
"459","Colusa County","rural",45.86,1083.57,877.68,72.1,167.68,2246.89
"460","Comal County","suburban",103.02,3257.52,3434.97,32.71,763.97,7592.19
"461","Comanche County","rural",0,481.5,904.99,181.28,406.99,1974.76
"462","Comanche County","small/mid",146.58,9562.25,4045.36,1948.47,11990.36,27693.02
"463","Concho County","rural",6.3,191.77,33.17,0,14.17,245.41
"464","Concordia Parish","rural",58.68,1281.51,8635.43,27.39,9464.43,19467.44
"465","Conecuh County","rural",0,1676,859.85,0,2535.85,5071.7
"466","Conejos County","rural",0,583.55,108,11.65,1,704.2
"467","Contra Costa County","suburban",1768.71,37049.91,26849.48,825.98,45760.48,112254.56
"468","Converse County","rural",0,129.5,46.49,27.5,38.49,241.98
"469","Conway County","rural",0,30.5,228,0,228,486.5
"470","Cook County","rural",0,2662.2,1315.5,6,3776.5,7760.2
"471","Cook County","urban",1314.27,529473.05,304651.63,584.01,712754.63,1548777.59
"472","Cooke County","rural",35.98,1231.26,877.34,39.46,1421.34,3605.38
"473","Cooper County","rural",0,923,29,0,929,1881
"474","Coos County","rural",20.45,248.02,263.15,138.95,129.15,799.72
"475","Coosa County","rural",0,994.73,765,0,1742,3501.73
"476","Copiah County","small/mid",0,2354.45,1378.5,0,3701.5,7434.45
"477","Corson County","rural",0,36.68,0,0,0,36.68
"478","Cortland County","rural",0,473.5,389.72,8,685.72,1556.94
"479","Coryell County","small/mid",13.11,1816.26,1265.68,21.54,2256.68,5373.27
"480","Coshocton County","rural",1,141.56,103.65,0,210.65,456.86
"481","Costilla County","rural",0,149.99,51.2,0,22.2,223.39
"482","Cottle County","rural",0,66,44,0,72,182
"483","Cotton County","small/mid",0,180,175,177,215,747
"484","Cottonwood County","rural",30.95,60.94,30,9.5,0,131.39
"485","Covington city","rural",1.53,9.33,393.3,1.05,393.3,798.51
"486","Covington County","rural",0,4001.96,1710.43,0,5601.43,11313.82
"487","Coweta County","suburban",34.39,8590.16,7665.67,15.46,15619.67,31925.35
"488","Cowley County","rural",10.86,139.7,321.5,67.68,321.5,861.24
"489","Cowlitz County","small/mid",90.01,1085.19,1957.94,605.86,682.94,4421.94
"490","Craig County","rural",0,283.05,191,218.63,416,1108.68
"491","Craig County","small/mid",1.12,5.03,41.66,0.58,41.66,90.05
"492","Craighead County","small/mid",44.17,338.38,2573.78,0,2573.78,5530.11
"493","Crane County","rural",0,169.5,155.38,0,29.38,354.26
"494","Craven County","small/mid",89.25,4870.38,3112.71,12.28,7749.71,15834.33
"495","Crawford County","rural",21.93,1662.31,1756.62,109.31,3074.62,6624.79
"496","Crawford County","small/mid",32,417,251.96,0,458.96,1159.92
"497","Creek County","small/mid",61.19,1303.63,681.86,1257.36,1699.86,5003.9
"498","Crenshaw County","rural",0,644.54,444.95,0,1049.95,2139.44
"499","Crisp County","rural",17,6720,2836.5,1,8976.5,18551
"500","Crittenden County","rural",0,19,370,0,370,759
"501","Crittenden County","suburban",0,122.71,5370.01,0,5370.01,10862.73
"502","Crockett County","rural",0,269,431.36,0,31.36,731.72
"503","Crockett County","small/mid",0,1782,369,0,2084,4235
"504","Crook County","rural",0,79,62.53,37.49,6.53,185.55
"505","Crosby County","small/mid",0,259,261,0,133,653
"506","Cross County","rural",0,9.5,703.5,0,703.5,1416.5
"507","Crow Wing County","rural",14,193.43,255.5,727.4,360.5,1550.83
"508","Crowley County","rural",0,35.5,98.9,0,14.9,149.3
"509","Culberson County","rural",0,252.93,245.6,15.74,97.6,611.87
"510","Cullman County","rural",3.43,541.83,499.96,8.94,849.96,1904.12
"511","Culpeper County","suburban",4.65,2160.65,1070.77,0,3064.77,6300.84
"512","Cumberland County","rural",42.9,685.17,1202.43,6.75,1612.43,3549.68
"513","Cumberland County","small/mid",444.93,35732.33,26083.11,1784.17,52943.11,116987.65
"514","Cuming County","rural",0,0,0,0,0,0
"515","Currituck County","suburban",0,257.4,129.11,9,363.11,758.62
"516","Curry County","rural",74.76,2593.29,1010.6,121.15,1002.6,4802.4
"517","Custer County","rural",0,1571.08,1367.3,1485.14,1641.3,6064.82
"518","Custer County","small/mid",0,0,0,43,0,43
"519","Cuyahoga County","urban",547.89,54432.22,53458.84,216.74,101666.84,210322.53
"520","Dade County","rural",0,0,0,0,0,0
"521","Dade County","small/mid",0,131,85.18,0,207.18,423.36
"522","Daggett County","rural",55.27,327.4,94.24,73.84,94.24,644.99
"523","Dakota County","small/mid",31.48,586.43,295.01,556.03,56.01,1524.96
"524","Dakota County","suburban",169.28,2856.33,2149.09,287.46,3831.09,9293.25
"525","Dale County","rural",0,3062.5,806.5,0,3846.5,7715.5
"526","Dallam County","rural",2.08,193.28,164.97,14.06,67.97,442.36
"527","Dallas County","rural",0,7709.5,5381.32,0,13029.32,26120.14
"528","Dallas County","small/mid",0,239.63,92.01,0,142.01,473.65
"529","Dallas County","urban",1466.93,245257.06,171238.11,192.33,318126.11,736280.54
"530","Dane County","small/mid",165.45,22197.28,13770.13,712.97,31870.13,68715.96
"531","Daniels County","rural",0,0,0,0,0,0
"532","Danville city","rural",14.98,10822.82,6889.86,7.4,17528.86,35263.92
"533","Dare County","rural",0,782.15,429.77,24.71,889.77,2126.4
"534","Darke County","rural",0,89.82,56.84,0,100.84,247.5
"535","Darlington County","small/mid",16.97,7849.97,3582.5,0,11369.5,22818.94
"536","Dauphin County","small/mid",300.96,34753.2,22941.79,172.63,50819.79,108988.37
"537","Davidson County","small/mid",159.43,4591.13,2788.5,82.25,6571.5,14192.81
"538","Davidson County","urban",190.19,71278.4,56007.98,178.92,121781.98,249437.47
"539","Davie County","small/mid",15.78,512.62,373.83,15.78,748.83,1666.84
"540","Daviess County","rural",7.22,253.25,233.04,2.17,328.04,823.72
"541","Daviess County","small/mid",2.92,3085.36,4186.62,3,6853.62,14131.52
"542","Davis County","rural",0,20.9,0,0,0,20.9
"543","Davis County","small/mid",629.95,3600.28,2635.37,325.79,1582.37,8773.76
"544","Davison County","rural",0,74.42,154.72,706.43,183.72,1119.29
"545","Dawes County","rural",0,49.44,39.3,219,39.3,347.04
"546","Dawson County","rural",22.41,2465.1,3147.43,979.22,1132.43,7746.59
"547","Dawson County","suburban",11.87,133.33,155,0,181,481.2
"548","Day County","rural",0,0,0,262,0,262
"549","De Baca County","rural",0,95.5,51.96,0,51.96,199.42
"550","De Soto Parish","small/mid",0,1079.26,2193.48,0,3215.48,6488.22
"551","De Witt County","small/mid",30.12,280.79,546.66,0,599.66,1457.23
"552","Deaf Smith County","rural",0,2144.2,3332.89,7.44,312.89,5797.42
"553","Dearborn County","suburban",14.04,363.69,347,5.54,540,1270.27
"554","Decatur County","rural",24.68,6831.46,7844.93,24.33,14318.93,29044.33
"555","Deer Lodge County","rural",14.98,19,9.5,54.5,9.5,107.48
"556","Defiance County","rural",7.2,556.71,1696.65,5.01,1786.65,4052.22
"557","DeKalb County","rural",0,1119.24,415.09,2,890.09,2426.42
"558","DeKalb County","small/mid",1.93,262.25,62.34,3.94,309.34,639.8
"559","DeKalb County","suburban",1933.31,82807.38,60013.37,104.51,132216.37,277074.94
"560","Del Norte County","rural",65.58,329.99,419.98,920.57,160.98,1897.1
"561","Delaware County","rural",0,201.35,222,1977.63,199,2599.98
"562","Delaware County","small/mid",15.22,2875.8,2295,25.86,4991,10202.88
"563","Delaware County","suburban",961.35,35358.33,44997.37,197.02,73508.37,155022.44
"564","Delta County","rural",0,607.23,714.53,405.5,328.53,2055.79
"565","Denali Borough","rural",0,0,0,0,0,0
"566","Dent County","rural",0,0,48.64,0,40.64,89.28
"567","Denton County","suburban",321.66,13129.03,10605.02,67.92,13053.02,37176.65
"568","Denver County","urban",963.68,64206.03,59104.37,3150.72,63350.37,190775.17
"569","Des Moines County","rural",0,1064.48,355.5,16,1298.5,2734.48
"570","Deschutes County","small/mid",54.33,444,501.05,160.71,280.05,1440.14
"571","Desha County","rural",0,12.7,522.5,0,522.5,1057.7
"572","DeSoto County","rural",0,2841.5,1993.59,0,3659.59,8494.68
"573","DeSoto County","suburban",9.67,4492.5,4168.5,95.79,8345.5,17111.96
"574","Deuel County","rural",0.11,10.41,3.42,41.11,3.42,58.47
"575","Dewey County","rural",0,27.63,68.8,109.25,68.8,274.48
"576","DeWitt County","rural",0,1834.48,1991.5,0,1523.5,5349.48
"577","Dickens County","rural",0,2242.73,769.53,34.74,763.53,3810.53
"578","Dickenson County","rural",1.09,17.97,71.03,1.11,83.03,174.23
"579","Dickey County","rural",0,0,0,0,0,0
"580","Dickinson County","rural",10.1,82.82,120,78.3,153,444.22
"581","Dickson County","suburban",0,1101.5,955.5,4885.37,1991.5,8933.87
"582","Dillingham Census Area","rural",0,0,0,0,0,0
"583","Dillon County","rural",8.11,3550.22,2245,244.66,5628,11675.99
"584","Dimmit County","rural",0,941.76,356.35,0,27.35,1325.46
"585","Dinwiddie County","suburban",2.55,1689.42,2009.33,0.78,3615.33,7317.41
"586","District of Columbia","urban",174.69,3083,71508.5,12.59,71508.5,146287.28
"587","Divide County","rural",0,7.62,3.63,20.18,3.63,35.06
"588","Dixie County","rural",28.5,951.77,575,0,1475,3030.27
"589","Dixon County","small/mid",6.75,20,0,12.7,0,39.45
"590","Doddridge County","rural",0.24,2.02,32.2,0,32.2,66.66
"591","Dodge County","rural",262.64,7166.39,3164.09,145.28,6680.09,17418.49
"592","Dodge County","small/mid",5.64,94.04,163.57,28.39,143.57,435.21
"593","Dolores County","rural",0,0,0,0,0,0
"594","Dona Ana County","small/mid",71.89,10239.85,783.77,141.79,783.77,12021.07
"595","Doniphan County","small/mid",0,0,66.59,0,66.59,133.18
"596","Donley County","rural",0,198.5,116.09,0,205.09,519.68
"597","Dooly County","rural",19.21,2133.78,1288,0,3251,6691.99
"598","Door County","rural",33.38,89,189,125.8,191,628.18
"599","Dorchester County","rural",126.25,5433.3,2391.05,0,7574.05,15524.65
"600","Dorchester County","small/mid",1,6731.91,2641.22,27.1,9230.22,18631.45
"601","Dougherty County","small/mid",20.36,26208.15,18353.73,13.62,44423.73,89019.59
"602","Douglas County","rural",84.96,700.58,916.43,560.34,562.43,2824.74
"603","Douglas County","small/mid",316.69,30165.33,18297.73,2618.99,39907.73,91306.47
"604","Douglas County","suburban",262.84,13954.46,10662.64,172.1,21596.64,46648.68
"605","Drew County","rural",0,1.85,426.5,0,426.5,854.85
"606","Dubois County","rural",0,162.82,148.25,0,75.25,386.32
"607","Dubuque County","small/mid",21.14,823.6,565,0,1282,2691.74
"608","Duchesne County","rural",47.92,604.68,505.22,369.5,197.22,1724.54
"609","Dukes County","rural",0,63.15,172.25,0,177.25,412.65
"610","Dundy County","rural",0,0,0,0,0,0
"611","Dunklin County","rural",9.5,2819.53,825.84,0,3397.84,7052.71
"612","Dunn County","rural",65.13,76.65,144.94,208.64,127.94,623.3
"613","DuPage County","suburban",242.54,10609.32,11064.06,51.54,14698.06,36665.52
"614","Duplin County","rural",0,2869,1732.5,13,3784.5,8399
"615","Durham County","small/mid",34.12,18500.06,12524.35,14.3,29143.35,60216.18
"616","Dutchess County","suburban",40.4,8031.06,5553.13,25.09,11553.13,25202.81
"617","Duval County","rural",16.14,549,604.14,0,16.14,1185.42
"618","Duval County","urban",462.85,92841.45,60595.81,96.96,149683.81,303680.88
"619","Dyer County","rural",0,3649.5,1765.5,33.83,5372.5,10821.33
"620","Eagle County","rural",0,882,603.86,0,63.86,1549.72
"621","Early County","rural",0,1002.44,1283.18,0,2262.18,4547.8
"622","East Baton Rouge Parish","small/mid",144.22,14994.68,35447.78,0,49176.78,99763.46
"623","East Carroll Parish","rural",57.66,813.77,12808.87,4.49,13476.87,27161.66
"624","East Feliciana Parish","small/mid",0,784.77,2711.5,0,3465.5,6961.77
"625","Eastland County","rural",0,601,734.5,0,560.5,1896
"626","Eaton County","small/mid",27,2840.69,1403.88,24.2,3972.88,8268.65
"627","Eau Claire County","small/mid",139.5,841.5,1059.52,385.64,1680.52,4106.68
"628","Echols County","small/mid",0.55,30.04,364.97,0,373.97,769.53
"629","Ector County","small/mid",63.54,12380.11,10866.04,45.12,7231.04,30585.85
"630","Eddy County","rural",2.69,3008.4,231.05,154.46,231.05,3627.65
"631","Edgar County","rural",0,54.53,24.59,0,32.59,111.71
"632","Edgecombe County","small/mid",0,4666.08,4436.91,0,8751.91,17854.9
"633","Edgefield County","small/mid",0,2712.88,1017.48,0,3698.48,7428.84
"634","Edmonson County","small/mid",0,0,0,0,0,0
"635","Edmunds County","rural",0,0,0,0,0,0
"636","Edwards County","rural",16.15,182.37,181.28,9.5,85.28,474.58
"637","Effingham County","rural",0,254.59,229.85,0,326.85,811.29
"638","Effingham County","small/mid",1,1976.81,4303.66,0,6211.66,12493.13
"639","El Dorado County","suburban",179.56,1626.62,1299.97,309.27,846.97,4262.39
"640","El Paso County","small/mid",1433.26,85044.19,65725.45,1690.62,37191.45,191084.97
"641","Elbert County","rural",0,2491,1012,0,3464,6967
"642","Elbert County","suburban",0,92.36,96,0,84,272.36
"643","Elk County","rural",0,118.4,510.88,0,540.88,1170.16
"644","Elkhart County","small/mid",55,10469.61,8927.22,44.62,14573.22,34069.67
"645","Elko County","rural",23.58,451.25,666.04,408.08,224.04,1772.99
"646","Elliott County","rural",1.72,3.16,14.1,0.53,14.1,33.61
"647","Ellis County","rural",0,64.17,94.96,0,94.96,254.09
"648","Ellis County","suburban",2.98,6487.92,6098.11,0,7720.11,20309.12
"649","Ellsworth County","rural",0,29.52,30.5,18.6,30.5,109.12
"650","Elmore County","rural",0,216.39,9.5,34.7,9.5,270.09
"651","Elmore County","small/mid",0,4386.8,2633.5,0,6824.5,13844.8
"652","Emanuel County","rural",0,3292,1580.9,0,4857.9,9730.8
"653","Emery County","rural",20.59,72,99.9,35.43,69.9,297.82
"654","Emmet County","rural",38,251.43,74.88,427.61,203.88,995.8
"655","Emmons County","rural",0.75,3.91,7.28,37.52,7.28,56.74
"656","Emporia city","rural",7.48,30.49,829.67,2.58,829.67,1699.89
"657","Erath County","rural",0,437.5,1038.5,0,351.5,1827.5
"658","Erie County","rural",10.61,1717.82,1404.25,11.78,2970.25,6114.71
"659","Erie County","small/mid",55.2,15670.33,8831.88,113.01,21482.88,46153.3
"660","Erie County","urban",284.78,41942.32,29688.34,976.39,62429.34,135321.17
"661","Escambia County","rural",0,3633.5,2522.47,32.57,6127.47,12316.01
"662","Escambia County","small/mid",167.09,33755.47,26906.41,48.2,58420.41,119297.58
"663","Esmeralda County","rural",0,44.02,27.65,0,39.65,111.32
"664","Essex County","rural",1.36,705.65,895.31,73.42,1525.31,3201.05
"665","Essex County","suburban",552.38,15078.76,8757.11,51.67,5932.11,30372.03
"666","Essex County","urban",710.54,119494.34,66772.98,66.8,160628.98,347673.64
"667","Estill County","rural",0,0,0,0,0,0
"668","Etowah County","small/mid",291.11,12316.28,3797.61,7.2,13359.61,29771.81
"669","Eureka County","rural",3.2,14,14.41,1,14.41,47.02
"670","Evangeline Parish","rural",0,1802.25,2223,16.5,3662,7703.75
"671","Evans County","rural",0,1170.5,340.48,0,1488.48,2999.46
"672","Fairbanks North Star Borough","small/mid",0,0,0,0,0,0
"673","Fairfax city","suburban",0,0,0,0,0,0
"674","Fairfax County","suburban",1442.08,21428.38,15801.75,94.98,30855.75,69622.94
"675","Fairfield County","small/mid",0,2006,1908,0,3914,7828
"676","Fairfield County","suburban",0,482,670.19,0,1082.19,2234.38
"677","Fall River County","rural",0,53,84,303.35,84,524.35
"678","Fallon County","rural",11.15,0,0,21.91,0,33.06
"679","Falls Church city","suburban",6.15,76.29,442.37,0.36,442.37,967.54
"680","Falls County","small/mid",9.5,1739,528,0,1927,4203.5
"681","Fannin County","rural",49,3998.11,1204.02,7,2115.02,7373.15
"682","Faribault County","rural",0,58.88,25.5,19.18,10.5,114.06
"683","Faulk County","rural",0,0,0,12.22,0,12.22
"684","Faulkner County","small/mid",43.52,112,1478.5,18.45,1478.5,3130.97
"685","Fauquier County","suburban",74.67,2827.08,1623.47,6.09,4127.47,8658.78
"686","Fayette County","rural",1,2574.09,1846.67,52,3618.67,8092.43
"687","Fayette County","small/mid",129.89,22051.27,13365.74,16.9,32713.74,68277.54
"688","Fayette County","suburban",43.32,10652.24,6320.17,28.01,16423.17,33466.91
"689","Fentress County","rural",0,43,6.54,0,37.54,87.08
"690","Fergus County","rural",0,0,13.46,13.46,13.46,40.38
"691","Ferry County","rural",0,0,16.5,52.14,16.5,85.14
"692","Fillmore County","rural",0,5,28.16,0,33.16,66.32
"693","Fillmore County","small/mid",0,15.25,39,22.95,39,116.2
"694","Finney County","rural",47.93,1233.58,180.58,52.37,180.58,1695.04
"695","Fisher County","rural",0,123.5,192.5,0,101.5,417.5
"696","Flagler County","small/mid",9.5,1890.98,1069,0,2668,5637.48
"697","Flathead County","rural",0,69.5,44.8,73.88,44.8,232.98
"698","Fleming County","rural",3.07,47.98,165.85,3.65,184.85,405.4
"699","Florence County","rural",0,0,0,6,0,6
"700","Florence County","small/mid",13.37,20756.42,7450.53,12.29,27830.53,56063.14
"701","Floyd County","rural",0,254.8,642.64,0,200.64,1098.08
"702","Floyd County","small/mid",36.96,10456.5,12260.75,13.31,21292.75,44060.27
"703","Floyd County","suburban",57.57,1119.91,1852.35,285.83,2710.35,6026.01
"704","Fluvanna County","small/mid",12.96,642.39,781.62,3.18,1324.62,2764.77
"705","Foard County","rural",0,12,0,0,0,12
"706","Fond du Lac County","small/mid",61,1593.86,1220.76,154.03,2074.76,5104.41
"707","Ford County","rural",35.74,1139.89,180.98,55.06,180.98,1592.65
"708","Ford County","small/mid",33.66,203.08,426,0,514,1176.74
"709","Forest County","rural",23.26,103.97,134.77,807.81,134.77,1204.58
"710","Forrest County","small/mid",49.15,6487.7,5782.15,45.4,12052.15,24416.55
"711","Forsyth County","small/mid",75.53,26177.9,16426.83,136.22,38235.83,81052.31
"712","Forsyth County","suburban",27.54,676,655.98,0,870.98,2230.5
"713","Fort Bend County","suburban",395.94,14826.62,14621.19,168.27,16631.19,46643.21
"714","Foster County","rural",0,0,0,0,0,0
"715","Fountain County","rural",0,10,31.14,0,41.14,82.28
"716","Franklin city","rural",2.89,22.59,941.82,0.28,949.82,1917.4
"717","Franklin County","rural",298,8122.22,6394.97,602.51,11600.97,27018.67
"718","Franklin County","small/mid",155.7,8860.59,6880.48,107.07,9331.48,25335.32
"719","Franklin County","suburban",83.54,3023.62,3026.06,0,5629.06,11762.28
"720","Franklin County","urban",418.16,28534.25,36937.26,130.64,61525.26,127545.57
"721","Franklin Parish","rural",45.37,1117.42,9875.42,40.15,10831.42,21909.78
"722","Frederick County","small/mid",82.75,676.48,1837.34,7.07,2123.34,4726.98
"723","Frederick County","suburban",36.41,6600.82,4235.25,4.89,10179.25,21056.62
"724","Fredericksburg city","suburban",11.7,3669.61,1012.49,1.77,4523.49,9219.06
"725","Freeborn County","rural",0,477.74,186.96,0,157.96,822.66
"726","Freestone County","rural",0,1209.87,716.06,0,1509.06,3434.99
"727","Fremont County","rural",36.42,1775.27,1283.74,2502.19,575.74,6173.36
"728","Fresno County","small/mid",2837.37,71623.64,78351.89,2044.91,41788.89,196646.7
"729","Frio County","rural",73.02,8136.87,1510.86,0,64.86,9785.61
"730","Frontier County","rural",0,16.13,32.25,0,32.25,80.63
"731","Fulton County","rural",2.48,2542.42,2137.75,51.04,4255.75,8989.44
"732","Fulton County","small/mid",7.79,333.72,1640.42,5.44,1650.42,3637.79
"733","Fulton County","urban",1007.22,155886.12,105891.19,79.05,254886.19,517749.77
"734","Furnas County","rural",0,88.5,0,0,0,88.5
"735","Gadsden County","small/mid",14.42,10536.5,5196.5,0,15153.5,30900.92
"736","Gage County","rural",0,34.86,40.8,4,44.8,124.46
"737","Gaines County","rural",29.55,567.5,947.95,0,218.95,1763.95
"738","Galax city","rural",0.47,30.44,116.3,0,116.3,263.51
"739","Gallatin County","rural",34.24,42.04,128.45,135.56,128.45,468.74
"740","Gallatin County","suburban",0,18,0,0,18,36
"741","Gallia County","rural",0,235,118.74,0,353.74,707.48
"742","Galveston County","suburban",86.84,19456.81,16846.73,21.76,28266.73,64678.87
"743","Garden County","rural",0,16.5,0,0,0,16.5
"744","Garfield County","rural",102.1,3406.14,2374.38,574.34,3000.38,9457.34
"745","Garland County","small/mid",15.4,146.35,1578.87,29.82,1578.87,3349.31
"746","Garrard County","rural",4.5,178.98,149.17,5.29,309.17,647.11
"747","Garrett County","rural",0,28.5,48,0,67,143.5
"748","Garvin County","rural",0,424,372.5,132.27,436.5,1365.27
"749","Garza County","rural",0,343.26,343.04,0,229.04,915.34
"750","Gasconade County","rural",4.92,20.58,51.43,3,51.43,131.36
"751","Gaston County","suburban",126.09,7329,5349.84,28.43,11795.84,24629.2
"752","Gates County","suburban",0,121,0,0,121,242
"753","Geary County","rural",35.5,189.5,885.16,44.4,885.16,2039.72
"754","Geauga County","suburban",16.95,332,276,0,388,1012.95
"755","Gem County","small/mid",7.45,69.34,23.44,0,23.44,123.67
"756","Genesee County","rural",0,1452,715.5,145.39,1776.5,4089.39
"757","Genesee County","small/mid",55.8,50524.09,10370.19,358.29,60608.19,121916.56
"758","Geneva County","small/mid",0,1069.66,418.5,0,1442.5,2930.66
"759","Gentry County","rural",26.19,125.03,289.4,7.49,289.4,737.51
"760","George County","rural",0,304.68,3108.76,0,3384.76,6798.2
"761","Georgetown County","rural",0,6979.5,3645,20.34,10342,20986.84
"762","Gibson County","rural",0,3707.5,3353.5,0,6970.5,14031.5
"763","Gila County","rural",21.88,1204.14,1658.04,538.94,214.04,3637.04
"764","Gilchrist County","small/mid",0,241.5,149.5,0,279.5,670.5
"765","Giles County","rural",0,1381.57,1067.5,0,2424.5,4873.57
"766","Giles County","small/mid",1.2,128.66,274.84,0,321.84,726.54
"767","Gillespie County","rural",0,190.5,449.49,0,33.49,673.48
"768","Gilliam County","rural",1.5,26.57,1.46,6.52,1.46,37.51
"769","Gilmer County","rural",1.03,130.46,101.84,10.84,67.84,312.01
"770","Gilpin County","suburban",0,165,59.75,0,40.75,265.5
"771","Glacier County","rural",0,0,0,162.57,0,162.57
"772","Glades County","rural",66.5,1012.88,1039.8,42.69,1292.8,3454.67
"773","Gladwin County","rural",0,53.98,152,0,156,361.98
"774","Glascock County","rural",0,14,0,0,14,28
"775","Glasscock County","rural",0,120.41,0,0,0,120.41
"776","Glenn County","rural",283.65,985.67,1030.73,156.8,165.73,2622.58
"777","Gloucester County","suburban",49.91,6165.97,5845.52,27.09,11036.52,23125.01
"778","Glynn County","small/mid",17.76,10866.4,5437.85,0,15933.85,32255.86
"779","Gogebic County","rural",0,33,61.15,29.28,94.15,217.58
