"","county_name","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"433","Culpeper County",4.65,2160.65,1070.77,0,3064.77,6300.84
"434","Cumberland County",487.83,36417.5,27285.54,1790.92,54555.54,120537.33
"435","Cuming County",0,0,0,0,0,0
"436","Currituck County",0,257.4,129.11,9,363.11,758.62
"437","Curry County",74.76,2593.29,1010.6,121.15,1002.6,4802.4
"438","Custer County",0,1571.08,1367.3,1528.14,1641.3,6107.82
"439","Cuyahoga County",547.89,54432.22,53458.84,216.74,101666.84,210322.53
"440","Dade County",0,131,85.18,0,207.18,423.36
"441","Daggett County",55.27,327.4,94.24,73.84,94.24,644.99
"442","Dakota County",200.76,3442.76,2444.1,843.49,3887.1,10818.21
"443","Dale County",0,3062.5,806.5,0,3846.5,7715.5
"444","Dallam County",2.08,193.28,164.97,14.06,67.97,442.36
"445","Dallas County",1466.93,253206.19,176711.44,192.33,331297.44,762874.33
"446","Dane County",165.45,22197.28,13770.13,712.97,31870.13,68715.96
"447","Daniels County",0,0,0,0,0,0
"448","Danville city",14.98,10822.82,6889.86,7.4,17528.86,35263.92
"449","Dare County",0,782.15,429.77,24.71,889.77,2126.4
"450","Darke County",0,89.82,56.84,0,100.84,247.5
"451","Darlington County",16.97,7849.97,3582.5,0,11369.5,22818.94
"452","Dauphin County",300.96,34753.2,22941.79,172.63,50819.79,108988.37
"453","Davidson County",349.62,75869.53,58796.48,261.17,128353.48,263630.28
"454","Davie County",15.78,512.62,373.83,15.78,748.83,1666.84
"455","Daviess County",10.14,3338.61,4419.66,5.17,7181.66,14955.24
"456","Davis County",629.95,3621.18,2635.37,325.79,1582.37,8794.66
"457","Davison County",0,74.42,154.72,706.43,183.72,1119.29
"458","Dawes County",0,49.44,39.3,219,39.3,347.04
"459","Dawson County",34.28,2598.43,3302.43,979.22,1313.43,8227.79
"460","Day County",0,0,0,262,0,262
"461","De Baca County",0,95.5,51.96,0,51.96,199.42
"462","De Soto Parish",0,1079.26,2193.48,0,3215.48,6488.22
"463","De Witt County",30.12,280.79,546.66,0,599.66,1457.23
"464","Deaf Smith County",0,2144.2,3332.89,7.44,312.89,5797.42
"465","Dearborn County",14.04,363.69,347,5.54,540,1270.27
"466","Decatur County",24.68,6831.46,7844.93,24.33,14318.93,29044.33
"467","Deer Lodge County",14.98,19,9.5,54.5,9.5,107.48
"468","Defiance County",7.2,556.71,1696.65,5.01,1786.65,4052.22
"469","DeKalb County",1935.24,84188.87,60490.8,110.45,133415.8,280141.16
"470","Del Norte County",65.58,329.99,419.98,920.57,160.98,1897.1
"471","Delaware County",976.57,38435.48,47514.37,2200.51,78698.37,167825.3
"472","Delta County",0,607.23,714.53,405.5,328.53,2055.79
"473","Denali Borough",0,0,0,0,0,0
"474","Dent County",0,0,48.64,0,40.64,89.28
"475","Denton County",321.66,13129.03,10605.02,67.92,13053.02,37176.65
"476","Denver County",963.68,64206.03,59104.37,3150.72,63350.37,190775.17
"477","Des Moines County",0,1064.48,355.5,16,1298.5,2734.48
"478","Deschutes County",54.33,444,501.05,160.71,280.05,1440.14
"479","Desha County",0,12.7,522.5,0,522.5,1057.7
"480","DeSoto County",9.67,7334,6162.09,95.79,12005.09,25606.64
"481","Deuel County",0.11,10.41,3.42,41.11,3.42,58.47
"482","Dewey County",0,27.63,68.8,109.25,68.8,274.48
"483","DeWitt County",0,1834.48,1991.5,0,1523.5,5349.48
"484","Dickens County",0,2242.73,769.53,34.74,763.53,3810.53
"485","Dickenson County",1.09,17.97,71.03,1.11,83.03,174.23
"486","Dickey County",0,0,0,0,0,0
"487","Dickinson County",10.1,82.82,120,78.3,153,444.22
"488","Dickson County",0,1101.5,955.5,4885.37,1991.5,8933.87
"489","Dillingham Census Area",0,0,0,0,0,0
"490","Dillon County",8.11,3550.22,2245,244.66,5628,11675.99
"491","Dimmit County",0,941.76,356.35,0,27.35,1325.46
"492","Dinwiddie County",2.55,1689.42,2009.33,0.78,3615.33,7317.41
"493","District of Columbia",174.69,3083,71508.5,12.59,71508.5,146287.28
"494","Divide County",0,7.62,3.63,20.18,3.63,35.06
"495","Dixie County",28.5,951.77,575,0,1475,3030.27
"496","Dixon County",6.75,20,0,12.7,0,39.45
"497","Doddridge County",0.24,2.02,32.2,0,32.2,66.66
"498","Dodge County",268.28,7260.43,3327.66,173.67,6823.66,17853.7
"499","Dolores County",0,0,0,0,0,0
"500","Dona Ana County",71.89,10239.85,783.77,141.79,783.77,12021.07
"501","Doniphan County",0,0,66.59,0,66.59,133.18
"502","Donley County",0,198.5,116.09,0,205.09,519.68
"503","Dooly County",19.21,2133.78,1288,0,3251,6691.99
"504","Door County",33.38,89,189,125.8,191,628.18
"505","Dorchester County",127.25,12165.21,5032.27,27.1,16804.27,34156.1
"506","Dougherty County",20.36,26208.15,18353.73,13.62,44423.73,89019.59
"507","Douglas County",664.49,44820.37,29876.8,3351.43,62066.8,140779.89
"508","Drew County",0,1.85,426.5,0,426.5,854.85
"509","Dubois County",0,162.82,148.25,0,75.25,386.32
"510","Dubuque County",21.14,823.6,565,0,1282,2691.74
"511","Duchesne County",47.92,604.68,505.22,369.5,197.22,1724.54
"512","Dukes County",0,63.15,172.25,0,177.25,412.65
"513","Dundy County",0,0,0,0,0,0
"514","Dunklin County",9.5,2819.53,825.84,0,3397.84,7052.71
"515","Dunn County",65.13,76.65,144.94,208.64,127.94,623.3
"516","DuPage County",242.54,10609.32,11064.06,51.54,14698.06,36665.52
"517","Duplin County",0,2869,1732.5,13,3784.5,8399
"518","Durham County",34.12,18500.06,12524.35,14.3,29143.35,60216.18
"519","Dutchess County",40.4,8031.06,5553.13,25.09,11553.13,25202.81
"520","Duval County",478.99,93390.45,61199.95,96.96,149699.95,304866.3
"521","Dyer County",0,3649.5,1765.5,33.83,5372.5,10821.33
"522","Eagle County",0,882,603.86,0,63.86,1549.72
"523","Early County",0,1002.44,1283.18,0,2262.18,4547.8
"524","East Baton Rouge Parish",144.22,14994.68,35447.78,0,49176.78,99763.46
"525","East Carroll Parish",57.66,813.77,12808.87,4.49,13476.87,27161.66
"526","East Feliciana Parish",0,784.77,2711.5,0,3465.5,6961.77
"527","Eastland County",0,601,734.5,0,560.5,1896
"528","Eaton County",27,2840.69,1403.88,24.2,3972.88,8268.65
"529","Eau Claire County",139.5,841.5,1059.52,385.64,1680.52,4106.68
"530","Echols County",0.55,30.04,364.97,0,373.97,769.53
"531","Ector County",63.54,12380.11,10866.04,45.12,7231.04,30585.85
"532","Eddy County",2.69,3008.4,231.05,154.46,231.05,3627.65
"533","Edgar County",0,54.53,24.59,0,32.59,111.71
"534","Edgecombe County",0,4666.08,4436.91,0,8751.91,17854.9
"535","Edgefield County",0,2712.88,1017.48,0,3698.48,7428.84
"536","Edmonson County",0,0,0,0,0,0
"537","Edmunds County",0,0,0,0,0,0
"538","Edwards County",16.15,182.37,181.28,9.5,85.28,474.58
"539","Effingham County",1,2231.4,4533.51,0,6538.51,13304.42
"540","El Dorado County",179.56,1626.62,1299.97,309.27,846.97,4262.39
"541","El Paso County",1433.26,85044.19,65725.45,1690.62,37191.45,191084.97
"542","Elbert County",0,2583.36,1108,0,3548,7239.36
"543","Elk County",0,118.4,510.88,0,540.88,1170.16
"544","Elkhart County",55,10469.61,8927.22,44.62,14573.22,34069.67
"545","Elko County",23.58,451.25,666.04,408.08,224.04,1772.99
"546","Elliott County",1.72,3.16,14.1,0.53,14.1,33.61
"547","Ellis County",2.98,6552.09,6193.07,0,7815.07,20563.21
"548","Ellsworth County",0,29.52,30.5,18.6,30.5,109.12
"549","Elmore County",0,4603.19,2643,34.7,6834,14114.89
"550","Emanuel County",0,3292,1580.9,0,4857.9,9730.8
"551","Emery County",20.59,72,99.9,35.43,69.9,297.82
"552","Emmet County",38,251.43,74.88,427.61,203.88,995.8
"553","Emmons County",0.75,3.91,7.28,37.52,7.28,56.74
"554","Emporia city",7.48,30.49,829.67,2.58,829.67,1699.89
"555","Erath County",0,437.5,1038.5,0,351.5,1827.5
"556","Erie County",350.59,59330.47,39924.47,1101.18,86882.47,187589.18
"557","Escambia County",167.09,37388.97,29428.88,80.77,64547.88,131613.59
"558","Esmeralda County",0,44.02,27.65,0,39.65,111.32
"559","Essex County",1264.28,135278.75,76425.4,191.89,168086.4,381246.72
"560","Estill County",0,0,0,0,0,0
"561","Etowah County",291.11,12316.28,3797.61,7.2,13359.61,29771.81
"562","Eureka County",3.2,14,14.41,1,14.41,47.02
"563","Evangeline Parish",0,1802.25,2223,16.5,3662,7703.75
"564","Evans County",0,1170.5,340.48,0,1488.48,2999.46
"565","Fairbanks North Star Borough",0,0,0,0,0,0
"566","Fairfax city",0,0,0,0,0,0
"567","Fairfax County",1442.08,21428.38,15801.75,94.98,30855.75,69622.94
"568","Fairfield County",0,2488,2578.19,0,4996.19,10062.38
"569","Fall River County",0,53,84,303.35,84,524.35
"570","Fallon County",11.15,0,0,21.91,0,33.06
"571","Falls Church city",6.15,76.29,442.37,0.36,442.37,967.54
"572","Falls County",9.5,1739,528,0,1927,4203.5
"573","Fannin County",49,3998.11,1204.02,7,2115.02,7373.15
"574","Faribault County",0,58.88,25.5,19.18,10.5,114.06
"575","Faulk County",0,0,0,12.22,0,12.22
"576","Faulkner County",43.52,112,1478.5,18.45,1478.5,3130.97
"577","Fauquier County",74.67,2827.08,1623.47,6.09,4127.47,8658.78
"578","Fayette County",174.21,35277.6,21532.58,96.91,52755.58,109836.88
"579","Fentress County",0,43,6.54,0,37.54,87.08
"580","Fergus County",0,0,13.46,13.46,13.46,40.38
"581","Ferry County",0,0,16.5,52.14,16.5,85.14
"582","Fillmore County",0,20.25,67.16,22.95,72.16,182.52
"583","Finney County",47.93,1233.58,180.58,52.37,180.58,1695.04
"584","Fisher County",0,123.5,192.5,0,101.5,417.5
"585","Flagler County",9.5,1890.98,1069,0,2668,5637.48
"586","Flathead County",0,69.5,44.8,73.88,44.8,232.98
"587","Fleming County",3.07,47.98,165.85,3.65,184.85,405.4
"588","Florence County",13.37,20756.42,7450.53,18.29,27830.53,56069.14
"589","Floyd County",94.53,11831.21,14755.74,299.14,24203.74,51184.36
"590","Fluvanna County",12.96,642.39,781.62,3.18,1324.62,2764.77
"591","Foard County",0,12,0,0,0,12
"592","Fond du Lac County",61,1593.86,1220.76,154.03,2074.76,5104.41
"593","Ford County",69.4,1342.97,606.98,55.06,694.98,2769.39
"594","Forest County",23.26,103.97,134.77,807.81,134.77,1204.58
"595","Forrest County",49.15,6487.7,5782.15,45.4,12052.15,24416.55
"596","Forsyth County",103.07,26853.9,17082.81,136.22,39106.81,83282.81
"597","Fort Bend County",395.94,14826.62,14621.19,168.27,16631.19,46643.21
"598","Foster County",0,0,0,0,0,0
"599","Fountain County",0,10,31.14,0,41.14,82.28
"600","Franklin city",2.89,22.59,941.82,0.28,949.82,1917.4
"601","Franklin County",955.4,48540.68,53238.77,840.22,88086.77,191661.84
"602","Franklin Parish",45.37,1117.42,9875.42,40.15,10831.42,21909.78
"603","Frederick County",119.16,7277.3,6072.59,11.96,12302.59,25783.6
"604","Fredericksburg city",11.7,3669.61,1012.49,1.77,4523.49,9219.06
"605","Freeborn County",0,477.74,186.96,0,157.96,822.66
"606","Freestone County",0,1209.87,716.06,0,1509.06,3434.99
"607","Fremont County",36.42,1775.27,1283.74,2502.19,575.74,6173.36
"608","Fresno County",2837.37,71623.64,78351.89,2044.91,41788.89,196646.7
"609","Frio County",73.02,8136.87,1510.86,0,64.86,9785.61
"610","Frontier County",0,16.13,32.25,0,32.25,80.63
"611","Fulton County",1017.49,158762.26,109669.36,135.53,260792.36,530377
"612","Furnas County",0,88.5,0,0,0,88.5
"613","Gadsden County",14.42,10536.5,5196.5,0,15153.5,30900.92
"614","Gage County",0,34.86,40.8,4,44.8,124.46
"615","Gaines County",29.55,567.5,947.95,0,218.95,1763.95
"616","Galax city",0.47,30.44,116.3,0,116.3,263.51
"617","Gallatin County",34.24,60.04,128.45,135.56,146.45,504.74
"618","Gallia County",0,235,118.74,0,353.74,707.48
"619","Galveston County",86.84,19456.81,16846.73,21.76,28266.73,64678.87
"620","Garden County",0,16.5,0,0,0,16.5
"621","Garfield County",102.1,3406.14,2374.38,574.34,3000.38,9457.34
"622","Garland County",15.4,146.35,1578.87,29.82,1578.87,3349.31
"623","Garrard County",4.5,178.98,149.17,5.29,309.17,647.11
"624","Garrett County",0,28.5,48,0,67,143.5
"625","Garvin County",0,424,372.5,132.27,436.5,1365.27
"626","Garza County",0,343.26,343.04,0,229.04,915.34
"627","Gasconade County",4.92,20.58,51.43,3,51.43,131.36
"628","Gaston County",126.09,7329,5349.84,28.43,11795.84,24629.2
"629","Gates County",0,121,0,0,121,242
"630","Geary County",35.5,189.5,885.16,44.4,885.16,2039.72
"631","Geauga County",16.95,332,276,0,388,1012.95
"632","Gem County",7.45,69.34,23.44,0,23.44,123.67
"633","Genesee County",55.8,51976.09,11085.69,503.68,62384.69,126005.95
"634","Geneva County",0,1069.66,418.5,0,1442.5,2930.66
"635","Gentry County",26.19,125.03,289.4,7.49,289.4,737.51
"636","George County",0,304.68,3108.76,0,3384.76,6798.2
"637","Georgetown County",0,6979.5,3645,20.34,10342,20986.84
"638","Gibson County",0,3707.5,3353.5,0,6970.5,14031.5
"639","Gila County",21.88,1204.14,1658.04,538.94,214.04,3637.04
"640","Gilchrist County",0,241.5,149.5,0,279.5,670.5
"641","Giles County",1.2,1510.23,1342.34,0,2746.34,5600.11
"642","Gillespie County",0,190.5,449.49,0,33.49,673.48
"643","Gilliam County",1.5,26.57,1.46,6.52,1.46,37.51
"644","Gilmer County",1.03,130.46,101.84,10.84,67.84,312.01
"645","Gilpin County",0,165,59.75,0,40.75,265.5
"646","Glacier County",0,0,0,162.57,0,162.57
"647","Glades County",66.5,1012.88,1039.8,42.69,1292.8,3454.67
"648","Gladwin County",0,53.98,152,0,156,361.98
"649","Glascock County",0,14,0,0,14,28
"650","Glasscock County",0,120.41,0,0,0,120.41
"651","Glenn County",283.65,985.67,1030.73,156.8,165.73,2622.58
"652","Gloucester County",49.91,6165.97,5845.52,27.09,11036.52,23125.01
"653","Glynn County",17.76,10866.4,5437.85,0,15933.85,32255.86
"654","Gogebic County",0,33,61.15,29.28,94.15,217.58
"655","Golden Valley County",2.91,2.27,2.78,30.31,2.78,41.05
"656","Goliad County",0,428.5,541.31,0,124.31,1094.12
"657","Gonzales County",0,1321.36,2017.76,40.18,1191.76,4571.06
"658","Goochland County",9.11,875.91,1144.41,1.86,1990.41,4021.7
"659","Goodhue County",26,153.5,199,84,289,751.5
"660","Gooding County",0,193.5,0,0,0,193.5
"661","Gordon County",25.85,2205.65,1321.55,20.09,2690.55,6263.69
"662","Goshen County",0,193.53,188.34,199.71,87.34,668.92
"663","Gosper County",1.13,79.66,19.11,5.29,19.11,124.3
"664","Gove County",0,4.4,4.75,0,4.75,13.9
"665","Grady County",58.77,6570.61,4858.38,843.58,9959.38,22290.72
"666","Grafton County",6,104,97.5,10.69,92.5,310.69
"667","Graham County",0,1672.57,1793.48,505.12,381.48,4352.65
"668","Grainger County",0,424.45,108.72,0,516.72,1049.89
"669","Grand County",11.36,165.52,218,66.5,121,582.38
"670","Grand Forks County",69.63,549.44,578.5,1185.9,453.5,2836.97
"671","Grand Isle County",0,0,0,0,0,0
"672","Grand Traverse County",30.91,708.65,302.27,417.38,862.27,2321.48
"673","Granite County",0,0,0,8.5,0,8.5
"674","Grant County",100.5,6853.85,6524.1,327.65,7503.1,21309.2
"675","Grant Parish",0,185.92,757.94,0,903.94,1847.8
"676","Granville County",9.5,2282,1727.5,0,3875.5,7894.5
"677","Gratiot County",0,230,109.83,35.52,197.83,573.18
"678","Graves County",0,1433.28,902.85,15.5,2195.85,4547.48
"679","Gray County",7.63,852.67,797.29,15.6,826.29,2499.48
"680","Grays Harbor County",53.9,346.34,619.24,887.06,152.24,2058.78
"681","Grayson County",48.14,6770.73,7198.01,20.5,11049.01,25086.39
"682","Greeley County",0,14.59,0,0,0,14.59
"683","Green County",0,90.9,307.92,30.28,273.92,703.02
"684","Green Lake County",3.25,94.5,175.56,55.43,83.56,412.3
"685","Greenbrier County",5.03,140.89,336.03,2.11,457.03,941.09
"686","Greene County",173.74,13730.7,10158.73,295.84,20963.73,45322.74
"687","Greenlee County",0,293.5,247,0,0,540.5
"688","Greensville County",18.86,2993.4,2049.33,6.61,4967.33,10035.53
"689","Greenup County",0,32.18,109,0,136,277.18
"690","Greenville County",61.54,41122.64,16455.75,24.47,55554.75,113219.15
"691","Greenwood County",12.19,8799.22,3509.06,0,12004.06,24324.53
"692","Greer County",0,274.5,219.06,39.97,264.06,797.59
"693","Gregg County",56.77,13404.36,8528.83,14.5,19503.83,41508.29
"694","Gregory County",0,0,0,134,0,134
"695","Grenada County",23.14,2254.02,3277.5,0,5499.5,11054.16
"696","Griggs County",0,0,0,0,0,0
"697","Grimes County",9.5,1703.5,1041.5,0,2203.5,4958
"698","Grundy County",0,236.18,247.45,0,262.45,746.08
"699","Guadalupe County",107,11526.35,7623.01,651.84,3624.01,23532.21
"700","Guernsey County",0,282.81,179.14,0,438.14,900.09
"701","Guilford County",531.66,36951.28,19178.64,756.6,53234.64,110652.82
"702","Gulf County",0,949,664.73,0,1609.73,3223.46
"703","Gunnison County",0,35.09,11.96,0,2.96,50.01
"704","Guthrie County",0,35.5,6.12,0,6.12,47.74
"705","Gwinnett County",1323.81,26797.6,32274.51,513.92,45133.51,106043.35
"706","Haakon County",1.79,5.18,3.83,89.62,3.83,104.25
"707","Habersham County",245,734,334,0,696,2009
"708","Haines Borough",0,15.02,9.5,18.02,9.5,52.04
"709","Hale County",2.85,4269.29,5362.69,1,3418.69,13054.52
"710","Halifax County",4.6,7408.93,4208.48,87.72,11520.48,23230.21
"711","Hall County",555.36,10884.52,14006.35,154.12,17485.35,43085.7
"712","Hamblen County",0,1714.1,1013.09,0,2031.09,4758.28
"713","Hamilton County",196.5,49232.66,58047.19,82.56,104307.19,211866.1
"714","Hamlin County",0.13,12.89,4.12,51.03,4.12,72.29
"715","Hampden County",177.08,22853.13,17335.2,83.66,14587.2,55036.27
"716","Hampshire County",90.84,2158.65,1579.19,38.63,1507.19,5374.5
"717","Hampton city",63.82,17870.25,8404.57,20.58,26132.57,52491.79
"718","Hampton County",0,1582,985.86,0,2567.86,5135.72
"719","Hancock County",130.66,3126.53,3492.92,88.93,5721.92,12560.96
"720","Hand County",0,0,0,0,0,0
"721","Hanover County",127.81,4454.04,4545.5,146.05,8318.5,17591.9
"722","Hansford County",0,21.25,32,0,0,53.25
"723","Hanson County",0,0,0,0,0,0
"724","Haralson County",0,515,431.5,0,946.5,1893
"725","Hardee County",15.64,2190.9,1542.16,22.83,1611.16,5382.69
"726","Hardeman County",0,1889.59,1701.77,0,3473.77,7065.13
"727","Hardin County",167.04,6078.52,5397.31,32.63,10101.31,21776.81
"728","Harding County",0,0,0,0,0,0
"729","Hardy County",0.33,25.49,78.87,1.79,91.87,198.35
"730","Harford County",36.38,8817.87,4170.25,18.43,12829.25,25872.18
"731","Harlan County",0,313.76,225.38,0,490.38,1029.52
"732","Harmon County",0,160.03,167.43,0,205.43,532.89
"733","Harnett County",0,4200.01,2486,211.4,6283,13180.41
"734","Harney County",22.61,27.7,8.14,86.63,8.14,153.22
"735","Harper County",0,123.31,105.79,22.67,101.79,353.56
"736","Harris County",6502.8,324881.4,274138.14,223.4,449358.14,1055103.88
"737","Harrison County",587.14,18418.85,18762.47,215.97,34987.47,72971.9
"738","Harrisonburg city",0,0,0,0,0,0
"739","Hart County",0,1764.28,739.71,0,2447.71,4951.7
"740","Hartford County",0,0,0,0,0,0
"741","Hartley County",1.77,110.35,32.28,13.13,22.28,179.81
"742","Harvey County",9.5,266.91,262.96,4.48,262.96,806.81
"743","Haskell County",168.17,4279.5,1130.47,273.66,927.47,6779.27
"744","Hawaii County",3783,118,390,47,118,4456
"745","Hawkins County",9.98,259.87,234.56,0,404.56,908.97
"746","Hayes County",0,0,0,0,0,0
"747","Hays County",34.2,5109.53,6701.29,10.04,2385.29,14240.35
"748","Haywood County",9.5,2296.12,2633.23,164.5,4687.23,9790.58
"749","Heard County",0,237,236,0,473,946
"750","Hemphill County",0,54.78,38,0,0,92.78
"751","Hempstead County",0,183.33,939.24,0,939.24,2061.81
"752","Henderson County",36.15,8117.87,7273.55,8,13069.55,28505.12
"753","Hendricks County",5,799.59,653.79,100.61,1147.79,2706.78
"754","Hendry County",0,2435.35,2790.97,238.37,3369.97,8834.66
"755","Hennepin County",1235.16,37563.86,18425.21,5042.77,51694.21,113961.21
"756","Henrico County",180.7,16724.12,16743.21,26.47,32960.21,66634.71
"757","Henry County",131.65,20878.74,13492.08,46.64,32301.08,66850.19
"758","Herkimer County",0,367.7,224.03,0,411.03,1002.76
"759","Hernando County",69.45,3993.39,3853.05,33.19,6195.05,14144.13
"760","Hertford County",0,2462.86,1803.67,0,4209.67,8476.2
"761","Hettinger County",4.2,3.23,4.62,43.27,4.62,59.94
"762","Hickman County",0.47,834.49,958.66,3.92,1731.66,3529.2
"763","Hickory County",0,0,0,38,0,38
"764","Hidalgo County",97.47,26682.44,43986.51,0,511.51,71277.93
"765","Highland County",0.72,142.53,110.69,5.48,239.69,499.11
"766","Highlands County",0,6415.58,4785.86,1.97,8887.86,20091.27
"767","Hill County",17.33,1965.4,1693.58,768,2469.58,6913.89
"768","Hillsborough County",358.66,102602.64,71387.26,129.24,135663.26,310141.06
"769","Hillsdale County",0,87,58.79,28.55,145.79,320.13
"770","Hinds County",26.88,18471.41,18829.3,40.19,36907.3,74275.08
"771","Hinsdale County",0,1.68,0.12,0,0.12,1.92
"772","Hitchcock County",0,0,0,0,0,0
"773","Hocking County",1.73,30.99,35.85,1.42,64.85,134.84
"774","Hockley County",0,1486,1449.5,0,695.5,3631
"775","Hodgeman County",0,26.65,0,0,0,26.65
"776","Hoke County",4,2585.1,1862,1195.87,3884,9530.97
"777","Holmes County",0,1422.79,3866.79,0,5146.79,10436.37
"778","Holt County",0,50.64,3.06,17.04,3.06,73.8
"779","Honolulu County",21555,3188,1056,188,3188,29175
"780","Hood County",6.35,613.38,787.9,279.98,278.9,1966.51
"781","Hood River County",18.15,284.16,119.96,89.84,15.96,528.07
"782","Hooker County",0,0,0,0,0,0
"783","Hoonah-Angoon Census Area",0,0,0,0,0,0
"784","Hopewell city",34.67,3370.66,5203.97,11,8196.97,16817.27
"785","Hopkins County",3.58,3940.5,3270,16.5,6403,13633.58
"786","Horry County",8.32,16731.96,7538.77,75.27,23219.77,47574.09
"787","Hot Spring County",0,88.8,144.5,0,144.5,377.8
"788","Hot Springs County",0,9.01,0,57.28,0,66.29
"789","Houghton County",7.19,0,84.74,27.5,84.74,204.17
"790","Houston County",69.11,30944.77,15098.93,0,44758.93,90871.74
"791","Howard County",105.76,10161.46,9593.2,22.97,15979.2,35862.59
"792","Howell County",0,45,57.5,0,71.5,174
"793","Hubbard County",0,26,39.59,281,39.59,386.18
"794","Hudson County",851.51,56573.98,44711.45,200.86,64532.45,166870.25
"795","Hudspeth County",13.71,2328.86,301.28,0,167.28,2811.13
"796","Huerfano County",0,369.5,251.29,12,37.29,670.08
"797","Hughes County",67.07,199.51,185.62,3041.22,221.62,3715.04
"798","Humboldt County",135.11,1634.59,1893.44,3805.49,1214.44,8683.07
"799","Humphreys County",0,1065.78,2012.3,0,3066.3,6144.38
"800","Hunt County",16,4845.63,3040.41,29.67,6586.41,14518.12
"801","Hunterdon County",3.31,1266.8,897.56,24.23,1434.56,3626.46
"802","Huntingdon County",0,301.55,250.32,0,517.32,1069.19
"803","Huntington County",6.25,222.59,180.35,0,278.35,687.54
"804","Huron County",0,230.28,395.53,28.5,408.53,1062.84
"805","Hutchinson County",0,551,390,8,513,1462
"806","Hyde County",0,256.92,1400.24,17.05,1559.24,3233.45
"807","Iberia Parish",102.13,3084.77,5755.51,3.22,7953.51,16899.14
"808","Iberville Parish",0,1353.5,2369.11,0,3552.11,7274.72
"809","Ida County",0,0,0,0,0,0
"810","Idaho County",0,21.83,0,21.83,0,43.66
"811","Imperial County",132.16,15291.45,7451.98,562.1,1391.98,24829.67
"812","Independence County",0,61.5,229.5,0,229.5,520.5
"813","Indian River County",6.45,7778.52,5617.16,0,11537.16,24939.29
"814","Indiana County",30.28,564,502.5,32.56,1004.5,2133.84
"815","Ingham County",154.38,18076.98,9560.13,270.54,26184.13,54246.16
"816","Inyo County",14.8,283.5,285.37,974.5,37.37,1595.54
"817","Ionia County",2.27,410.64,220.03,49.99,483.03,1165.96
"818","Iosco County",0,77.36,129.53,0,146.53,353.42
"819","Iowa County",27.34,89.58,98.57,0,98.57,314.06
"820","Iredell County",33,5414.76,2985.08,76.58,7777.08,16286.5
"821","Irion County",0.11,70.7,32.89,0.25,16.89,120.84
"822","Iron County",20.35,602.71,1205.93,237.86,851.93,2918.78
"823","Iroquois County",0,211.72,187.85,0,326.85,726.42
"824","Irwin County",311.47,3865.98,3741.33,29.47,4084.33,12032.58
"825","Isabella County",19,878.15,977.88,684.38,1668.88,4228.29
"826","Isanti County",12.88,0,60,9.22,56,138.1
"827","Island County",45.39,246.15,139.76,43.06,284.76,759.12
"828","Isle of Wight County",12.76,1865.95,3789.51,1.33,5595.51,11265.06
"829","Issaquena County",0.92,36.48,1083.15,5.91,1114.15,2240.61
"830","Itasca County",42.1,62.4,28.34,879.96,61.34,1074.14
"831","Itawamba County",0,371.54,145.66,0,410.66,927.86
"832","Izard County",0,0,0,0,0,0
"833","Jack County",0,110.2,78.86,738.84,78.86,1006.76
"834","Jackson County",603.61,104031.5,48288.2,1610.23,139913.2,294446.74
"835","Jackson Parish",36.5,830.44,5876,70.5,6396,13209.44
"836","James City County",24.54,939.27,2019.78,5.78,2794.78,5784.15
"837","Jasper County",60.29,6949.75,3771.94,184.07,9585.94,20551.99
"838","Jay County",0,38.5,77.04,0,52.04,167.58
"839","Jeff Davis County",0,836.27,394,34.75,1118,2383.02
"840","Jefferson County",2569.98,219191.39,134512.66,2744.16,323719.66,682737.85
"841","Jefferson Davis County",0,750,687.42,0,1437.42,2874.84
"842","Jefferson Davis Parish",56.09,896.24,1593.85,22.6,2309.85,4878.63
"843","Jefferson Parish",92.94,14457.27,18181.69,15.43,31638.69,64386.02
"844","Jenkins County",26.5,1723.38,4066.5,4,5252.5,11072.88
"845","Jennings County",0,56.2,65.5,18.6,80.5,220.8
"846","Jerauld County",0,0,0,0,0,0
"847","Jerome County",0,461.5,19.88,30.73,19.88,531.99
"848","Jersey County",0,78.66,27.16,0,74.16,179.98
"849","Jessamine County",0,461,479.5,6.52,794.5,1741.52
"850","Jewell County",0,0,0,0,0,0
"851","Jim Hogg County",0,359,361,0,0,720
"852","Jim Wells County",0,1305.5,2882.76,0,51.76,4240.02
"853","Jo Daviess County",0,13.5,26.37,9.5,30.37,79.74
"854","Johnson County",293.36,9964.2,11070.06,141.82,13268.06,34737.5
"855","Johnston County",1.89,5953.55,3337.05,301.71,7926.05,17520.25
"856","Jones County",1.95,5961,4935.14,31.17,9382.14,20311.4
"857","Josephine County",65.16,468.01,280.49,115.89,199.49,1129.04
"858","Juab County",0,258.72,65.52,96.51,42.52,463.27
"859","Judith Basin County",0,0,2.46,2.46,2.46,7.38
"860","Juneau City and Borough",19.38,0,0,288,0,307.38
"861","Juneau County",0,171.14,244.21,130.91,363.21,909.47
"862","Juniata County",10.23,51,46.01,0,34.01,141.25
"863","Kalamazoo County",41.95,21065.45,5574.17,312.69,26288.17,53282.43
"864","Kalawao County",0,0,0,0,0,0
"865","Kalkaska County",16.5,16.5,35.77,20.5,35.77,125.04
"866","Kanabec County",0,0,57,0,57,114
